HH,DD,FH,T,SQ,Q,EUR
16,340,20,58,0,15,113.4
17,340,30,55,0,2,134.1
18,360,40,51,0,0,166.05
19,360,30,48,0,0,173.47
20,360,40,39,0,0,149.0
21,350,30,18,0,0,135.69
22,340,20,6,0,0,123.87
23,340,20,-5,0,0,112.05
0,330,10,-15,0,0,109.09
1,310,10,-30,0,0,106.0
2,0,10,-31,0,0,105.9
3,230,10,-45,0,0,103.83
4,230,10,-47,0,0,105.3
5,0,10,-58,0,0,113.53
6,240,10,-31,8,39,138.7
7,330,10,24,10,99,155.04
8,20,20,42,10,131,153.8
9,40,30,50,10,172,131.76
10,20,30,59,4,110,111.66
11,20,30,56,4,127,107.98
12,340,30,60,4,132,107.21
13,360,50,54,0,45,102.04
14,30,40,56,0,54,107.57
15,20,30,55,0,31,105.98
16,40,30,51,2,18,117.14
17,20,20,38,2,8,125.2
18,360,20,32,0,0,144.78
19,360,30,14,0,0,150.72
20,20,40,1,0,0,130.01
21,10,40,-4,0,0,111.39
22,10,40,-2,0,0,114.0
23,10,30,-13,0,0,105.17
0,20,20,-23,0,0,112.15
1,10,20,-17,0,0,103.14
2,10,30,-17,0,0,96.0
3,20,30,-20,0,0,89.9
4,20,20,-16,0,0,86.9
5,20,20,-6,0,0,90.55
6,30,40,15,0,10,97.01
7,50,50,24,2,45,99.42
8,40,50,37,7,107,98.68
9,50,60,42,2,92,86.27
10,50,70,61,7,168,72.61
11,50,70,79,9,219,66.87
12,70,70,78,9,218,57.2
13,70,70,82,6,131,48.0
14,50,70,71,8,121,54.51
15,60,70,68,7,92,63.21
16,40,60,55,2,16,78.31
17,30,50,40,2,5,111.71
18,30,50,34,0,0,125.75
19,20,30,16,0,0,132.96
20,20,30,16,0,0,121.46
21,20,40,13,0,0,108.5
22,20,40,3,0,0,105.02
23,10,40,2,0,0,95.25
0,10,40,-2,0,0,90.01
1,10,40,-7,0,0,85.79
2,10,40,-12,0,0,79.62
3,10,30,-18,0,0,78.18
4,10,30,-17,0,0,78.6
5,360,30,-20,0,0,80.51
6,20,30,-7,7,22,85.14
7,20,30,23,10,76,82.07
8,50,40,51,10,133,77.95
9,50,50,74,10,179,57.94
10,30,50,79,10,209,24.31
11,10,50,89,9,205,-3.59
12,20,50,88,10,214,-15.82
13,20,50,95,10,204,-5.76
14,20,50,94,10,168,-0.78
15,10,60,86,10,118,31.0
16,360,60,73,10,59,69.6
17,360,60,56,2,9,108.26
18,360,40,42,0,0,124.87
19,350,20,21,0,0,140.0
20,360,20,49,0,0,135.93
21,30,20,48,0,0,119.2
22,350,20,55,0,0,113.66
23,350,30,50,0,0,97.28
0,340,20,51,0,0,108.62
1,10,20,52,0,0,104.38
2,20,30,48,0,0,91.01
3,30,40,46,0,0,80.91
4,30,30,45,0,0,85.85
5,40,40,45,0,0,103.3
6,70,30,49,0,11,135.18
7,50,30,53,0,33,152.87
8,50,40,63,0,63,149.8
9,70,40,83,10,175,124.1
10,90,50,87,9,188,93.65
11,90,60,99,8,178,88.33
12,70,70,91,9,206,87.93
13,90,60,103,10,210,77.36
14,80,60,100,10,161,50.36
15,100,60,93,10,116,69.44
16,70,60,85,10,59,90.63
17,60,50,67,2,10,127.87
18,70,50,55,0,0,150.97
19,60,40,49,0,0,170.0
20,60,40,43,0,0,141.5
21,70,40,32,0,0,115.34
22,90,40,18,0,0,107.73
23,100,30,14,0,0,93.5
0,90,30,12,0,0,92.2
1,80,30,-3,0,0,89.99
2,80,30,-10,0,0,91.4
3,80,30,-14,0,0,87.23
4,80,30,-15,0,0,91.24
5,90,40,-9,0,1,109.99
6,90,40,14,10,29,138.18
7,100,50,39,10,87,136.68
8,100,50,56,10,145,108.02
9,110,60,76,10,192,72.35
10,110,60,87,10,224,18.21
11,90,70,98,10,239,-10.59
12,100,70,105,10,235,-21.3
13,90,70,111,10,213,-4.8
14,90,70,117,10,174,5.81
15,90,70,113,10,122,43.23
16,90,70,105,10,63,82.0
17,90,50,76,2,11,122.65
18,80,40,46,0,0,136.09
19,90,30,55,0,0,157.03
20,90,20,54,0,0,141.07
21,110,30,44,0,0,117.97
22,120,30,36,0,0,109.96
23,120,20,23,0,0,100.42
0,120,30,18,0,0,105.4
1,130,20,17,0,0,100.0
2,110,20,-14,0,0,97.05
3,120,20,8,0,0,96.1
4,110,20,-15,0,0,99.68
5,100,20,-16,0,1,116.21
6,110,20,30,8,29,145.37
7,130,20,61,10,84,145.52
8,140,20,93,10,140,108.1
9,150,30,120,10,185,77.0
10,150,20,141,10,217,26.57
11,140,30,155,10,231,0.08
12,180,40,166,10,227,-0.63
13,190,40,173,10,205,-0.13
14,180,30,175,10,165,1.21
15,210,20,178,10,113,56.77
16,190,30,160,10,59,94.43
17,130,20,120,3,10,129.69
18,0,10,87,0,0,189.36
19,130,10,79,0,0,188.64
20,130,10,60,0,0,138.07
21,100,10,43,0,0,123.51
22,180,10,56,0,0,112.94
23,160,20,78,0,0,105.06
0,170,20,79,0,0,102.93
1,170,20,60,0,0,89.79
2,180,20,64,0,0,89.8
3,180,20,58,0,0,88.41
4,190,20,54,0,0,83.5
5,200,20,22,0,1,102.64
6,180,10,67,8,29,128.73
7,190,20,101,7,75,131.21
8,200,20,132,10,136,98.56
9,160,20,152,10,182,72.16
10,210,20,167,10,213,33.26
11,210,20,177,10,225,3.42
12,180,20,182,10,221,0.43
13,230,20,182,10,198,0.65
14,180,10,187,10,159,13.23
15,180,20,184,10,113,61.04
16,180,10,174,10,50,94.58
17,20,10,143,3,9,126.37
18,40,20,115,0,0,167.72
19,50,20,96,0,0,167.2
20,70,10,101,0,0,134.44
21,90,20,106,0,0,118.64
22,30,20,83,0,0,109.43
23,80,20,79,0,0,98.83
0,90,20,68,0,0,108.01
1,80,20,65,0,0,94.87
2,50,20,50,0,0,93.47
3,80,20,65,0,0,93.38
4,110,20,75,0,0,85.71
5,100,30,50,0,1,99.0
6,100,30,89,7,28,121.6
7,110,30,115,10,85,121.84
8,100,50,146,10,144,91.79
9,110,50,180,10,173,65.78
10,120,70,190,10,194,40.74
11,120,80,205,10,219,7.0
12,140,70,208,10,197,-4.68
13,110,70,216,10,176,-0.85
14,120,70,216,10,129,1.4
15,120,70,214,7,79,8.91
16,120,60,205,10,42,43.52
17,130,50,194,3,9,84.29
18,120,50,190,0,0,104.9
19,130,50,183,0,0,81.08
20,130,40,180,0,0,68.12
21,130,30,172,0,0,45.76
22,120,40,171,0,0,32.2
23,110,40,168,0,0,24.17
0,120,40,164,0,0,31.28
1,100,30,149,0,0,16.09
2,170,30,136,0,0,12.88
3,100,30,133,0,0,10.56
4,70,30,129,0,0,12.98
5,90,30,122,0,1,15.11
6,100,40,129,0,16,14.44
7,110,40,141,0,48,19.88
8,120,40,152,0,71,37.94
9,130,40,166,2,107,37.68
10,170,40,186,8,191,26.33
11,190,50,182,7,192,25.1
12,160,50,176,0,93,23.23
13,180,50,169,0,59,3.91
14,150,40,176,4,85,4.65
15,140,30,182,5,74,22.56
16,170,50,172,8,45,40.0
17,110,20,144,2,6,74.97
18,100,10,127,0,0,119.77
19,110,20,140,0,0,149.03
20,100,20,126,0,0,91.0
21,110,30,132,0,0,76.55
22,110,30,123,0,0,71.91
23,110,30,117,0,0,66.67
