HH,DD,FH,T,SQ,Q,EUR
9,270,20,25,0,27,120.07
10,310,20,43,0,42,117.77
11,320,20,50,0,54,105.61
12,320,20,57,3,57,102.99
13,350,20,58,10,70,99.61
14,330,20,39,5,23,102.41
15,310,10,15,0,5,114.54
16,280,10,33,0,0,127.07
17,290,10,6,0,0,136.09
18,270,10,11,0,0,146.66
19,0,0,13,0,0,142.22
20,0,10,14,0,0,132.08
21,100,0,13,0,0,126.51
22,0,10,13,0,0,120.05
23,0,10,16,0,0,114.9
0,990,0,14,0,0,112.39
1,90,10,8,0,0,105.07
2,150,10,8,0,0,104.46
3,0,0,-4,0,0,100.37
4,0,10,-9,0,0,100.0
5,160,10,-18,0,0,109.86
6,200,10,-21,0,0,134.75
7,180,10,-28,0,1,162.04
8,190,10,-14,10,37,199.77
9,190,20,23,10,79,156.72
10,190,20,38,10,89,133.34
11,200,30,45,10,102,115.81
12,170,30,47,10,98,105.16
13,180,30,43,10,79,103.64
14,160,30,35,10,48,105.8
15,220,20,8,3,11,122.2
16,180,10,3,0,0,132.46
17,180,10,-19,0,0,148.75
18,190,20,-6,0,0,157.65
19,180,20,-5,0,0,159.88
20,170,20,-28,0,0,142.46
21,180,10,-31,0,0,122.5
22,170,20,-36,0,0,121.81
23,170,20,-32,0,0,121.7
0,190,30,-27,0,0,122.03
1,220,20,-22,0,0,117.71
2,240,20,-38,0,0,114.34
3,200,20,-29,0,0,112.03
4,190,30,-34,0,0,112.21
5,200,30,-25,0,0,114.34
6,200,30,-21,0,0,137.76
7,200,40,-17,0,2,160.84
8,210,30,-9,5,17,186.54
9,220,30,-1,3,32,152.46
10,200,30,12,0,44,133.59
11,220,30,25,0,56,114.15
12,220,40,29,0,43,111.87
13,220,40,41,8,65,111.31
14,250,30,46,8,26,115.85
15,230,30,43,2,7,127.36
16,230,20,41,0,0,143.58
17,220,30,42,0,0,167.73
18,230,20,36,0,0,186.82
19,230,20,33,0,0,188.82
20,220,20,36,0,0,152.4
21,230,20,37,0,0,126.13
22,240,20,41,0,0,134.43
23,230,20,44,0,0,122.03
0,240,20,46,0,0,119.94
1,230,20,47,0,0,124.48
2,250,20,48,0,0,119.68
3,260,10,51,0,0,109.86
4,230,10,53,0,0,111.69
5,270,10,52,0,0,117.77
6,210,10,52,0,0,135.02
7,300,10,58,0,1,191.9
8,320,10,58,0,8,287.1
9,350,10,61,0,20,285.11
10,200,10,62,0,32,261.94
11,270,10,65,0,33,221.55
12,300,20,67,0,27,201.44
13,0,10,68,0,20,192.81
14,290,20,66,0,11,212.11
15,20,20,62,0,3,202.24
16,130,10,61,0,0,210.48
17,180,10,61,0,0,261.84
18,150,10,61,0,0,260.73
19,110,10,61,0,0,235.89
20,110,10,60,0,0,173.65
21,140,10,58,0,0,150.94
22,190,10,55,0,0,139.67
23,200,10,56,0,0,123.9
0,190,10,52,0,0,125.1
1,140,10,52,0,0,118.86
2,120,20,51,0,0,111.2
3,130,10,50,0,0,104.22
4,130,20,43,0,0,103.0
5,120,20,35,0,0,114.54
6,130,20,31,0,0,130.41
7,130,30,25,0,1,157.54
8,130,30,18,0,6,199.79
9,120,30,12,0,14,175.0
10,120,30,16,0,20,151.9
11,150,20,18,0,22,140.64
12,150,30,23,0,22,130.92
13,120,30,23,0,15,126.15
14,160,30,18,0,9,124.25
15,170,30,19,0,3,136.67
16,150,30,19,0,0,153.88
17,110,20,17,0,0,174.6
18,130,20,19,0,0,184.32
19,150,20,18,0,0,179.97
20,100,20,17,0,0,159.6
21,140,20,19,0,0,141.96
22,160,30,21,0,0,135.68
23,150,30,19,0,0,124.12
0,170,30,16,0,0,107.11
1,190,20,13,0,0,113.26
2,240,20,4,0,0,109.61
3,200,20,-1,0,0,109.22
4,190,10,5,0,0,108.87
5,150,10,4,0,0,113.13
6,200,10,3,0,0,140.8
7,250,10,5,0,1,175.01
8,180,10,6,0,5,208.13
9,990,10,8,0,12,175.34
10,190,10,11,0,19,153.04
11,230,10,8,0,22,138.67
12,330,10,11,0,21,126.44
13,0,10,11,0,15,124.03
14,120,10,8,0,10,128.81
15,150,10,7,0,3,137.75
16,110,10,3,0,0,150.0
17,990,10,0,0,0,174.7
18,50,10,-2,0,0,179.92
19,40,20,-3,0,0,174.22
20,110,20,-7,0,0,157.91
21,110,20,-9,0,0,145.0
22,90,20,-17,0,0,139.97
23,80,20,-15,0,0,126.96
0,100,20,-11,0,0,125.38
1,100,20,-9,0,0,121.06
2,100,20,-7,0,0,121.02
3,70,20,-4,0,0,118.85
4,60,20,-5,0,0,116.52
5,60,30,-5,0,0,119.78
6,80,30,-8,0,0,119.87
7,70,30,-8,0,1,133.61
8,100,30,-9,0,7,145.67
9,100,40,-6,0,16,144.1
10,130,30,-4,0,31,131.5
11,100,20,0,0,33,121.58
12,110,20,0,0,28,118.87
13,100,20,4,0,19,115.01
14,110,20,3,0,10,118.78
15,110,20,4,0,3,128.29
16,120,20,6,0,0,131.29
17,130,30,3,0,0,152.54
18,150,20,3,0,0,167.57
19,190,20,0,0,0,167.85
20,180,20,0,0,0,156.12
21,180,20,0,0,0,143.42
22,180,20,0,0,0,136.4
23,160,20,-1,0,0,129.36
0,140,20,-3,0,0,129.75
1,990,20,-6,0,0,124.29
2,210,10,-7,0,0,123.12
3,160,10,-8,0,0,121.24
4,180,20,-11,0,0,120.18
5,170,20,-12,0,0,120.0
6,180,20,-13,0,0,121.59
7,140,10,-13,0,0,123.41
8,990,10,-14,0,4,123.6
9,70,10,-13,0,10,125.26
10,990,10,-12,0,13,125.33
11,260,10,-12,0,19,122.08
12,340,10,-11,0,19,112.25
13,990,10,-11,0,14,107.51
14,260,10,-10,0,8,116.81
15,360,10,-13,0,3,122.93
16,0,10,-14,0,0,135.2
17,180,10,-14,0,0,148.14
18,990,10,-15,0,0,159.37
19,220,10,-15,0,0,156.98
20,270,10,-16,0,0,149.57
21,300,20,-18,0,0,139.85
22,990,10,-16,0,0,131.31
23,100,10,-18,0,0,123.04
0,340,10,-16,0,0,122.28
1,0,10,-15,0,0,119.47
2,160,10,-14,0,0,116.57
3,330,20,-15,0,0,114.41
4,140,10,-15,0,0,115.45
5,990,10,-13,0,0,124.54
6,310,10,-11,0,0,146.3
7,0,10,-11,0,1,220.07
8,140,10,-9,0,6,338.48
9,140,20,-10,0,14,289.94
10,170,20,-7,0,14,236.29
11,180,20,-3,0,17,187.93
12,210,20,-4,0,12,176.28
13,180,20,-2,0,15,171.39
14,190,30,-1,0,13,187.9
15,190,20,0,0,7,239.34
16,180,20,0,0,0,294.08
17,160,20,-1,0,0,379.99
18,190,30,0,0,0,473.28
19,170,20,-1,0,0,295.57
20,160,20,-3,0,0,220.0
21,180,20,-4,0,0,170.0
22,190,30,-4,0,0,153.09
23,200,20,-5,0,0,138.87
0,200,20,-5,0,0,141.36
1,180,20,-4,0,0,136.28
2,170,30,-7,0,0,129.29
3,170,30,-9,0,0,118.38
4,180,40,-10,0,0,114.69
5,170,30,-10,0,0,122.43
6,210,30,-10,0,0,139.4
7,200,30,-11,0,1,180.4
8,180,30,-8,0,14,244.4
9,220,30,-10,0,27,211.34
10,180,20,-8,0,27,199.15
11,200,20,-9,0,32,163.39
12,160,20,-9,0,30,149.41
13,160,30,-9,0,26,144.33
14,140,20,-5,0,17,150.05
15,140,20,-7,0,6,165.99
16,110,20,-8,0,0,177.34
17,100,20,-9,0,0,232.75
18,70,10,-16,0,0,222.68
19,50,20,-27,0,0,192.62
20,60,20,-23,0,0,165.01
21,110,30,-8,0,0,149.77
22,100,30,-12,0,0,137.49
23,100,10,-25,0,0,125.5
0,130,10,-12,0,0,126.78
1,100,10,-18,0,0,122.65
2,0,20,-9,0,0,116.29
3,110,10,-13,0,0,113.48
4,130,10,-4,0,0,113.87
5,130,20,-1,0,0,122.6
6,130,30,2,0,0,130.23
7,130,20,-1,0,2,161.61
8,140,10,7,0,11,212.87
9,130,20,14,0,18,199.41
10,140,20,25,0,25,179.06
11,160,20,37,0,33,172.94
12,150,30,38,0,18,165.0
13,160,20,43,0,14,170.0
14,170,30,45,0,10,178.06
15,170,30,45,0,3,188.61
16,180,20,44,0,0,176.34
17,190,20,44,0,0,168.33
18,210,10,47,0,0,166.12
19,260,10,45,0,0,167.08
20,280,20,41,0,0,137.07
21,270,20,38,0,0,127.78
22,260,20,37,0,0,129.01
23,260,20,37,0,0,115.49
0,270,20,42,0,0,114.17
1,270,30,44,0,0,109.34
2,260,20,46,0,0,105.67
3,260,30,46,0,0,100.17
4,260,30,49,0,0,97.99
5,260,40,48,0,0,100.88
6,250,40,42,0,0,110.58
7,240,40,42,0,1,139.67
8,230,40,44,2,16,159.71
9,210,40,46,0,27,156.46
10,210,40,51,0,35,136.0
11,210,50,59,2,60,124.83
12,200,50,59,0,38,104.18
13,200,70,62,0,40,96.39
14,190,70,63,5,26,94.79
15,190,70,59,0,9,95.61
16,190,80,53,0,1,95.71
17,190,80,56,0,0,111.41
18,200,80,58,0,0,119.29
19,210,60,64,0,0,113.06
20,210,60,67,0,0,93.34
21,210,60,69,0,0,79.89
22,220,50,65,0,0,81.01
23,220,40,59,0,0,61.85
0,200,40,52,0,0,72.37
1,190,40,52,0,0,60.21
2,190,50,54,0,0,45.62
3,190,60,60,0,0,41.21
4,170,70,74,0,0,40.05
5,170,70,76,0,0,61.93
6,190,80,82,0,0,70.47
7,190,80,84,0,1,104.84
8,190,90,73,0,5,108.28
9,190,100,67,0,12,96.14
10,190,90,70,0,12,91.27
11,200,80,81,0,10,80.4
12,210,80,83,0,13,79.23
13,210,70,85,0,8,77.26
14,210,70,91,0,11,76.66
15,210,60,91,0,6,75.9
16,210,50,91,0,0,77.13
17,200,50,87,0,0,90.17
18,210,40,86,0,0,95.0
19,200,40,82,0,0,96.85
20,200,40,79,0,0,89.75
21,200,30,75,0,0,84.65
22,190,20,71,0,0,94.45
23,180,30,67,0,0,88.55
0,160,30,66,0,0,57.91
1,160,30,62,0,0,64.9
2,100,20,60,0,0,69.4
3,10,20,59,0,0,73.76
4,340,30,59,0,0,59.7
5,330,30,57,0,0,60.09
6,0,10,55,0,0,64.7
7,200,10,52,0,0,69.2
8,210,20,58,0,10,81.16
9,190,20,61,0,20,83.98
10,200,30,67,0,42,80.4
11,230,30,74,0,43,83.5
12,270,40,71,0,21,80.0
13,280,40,67,0,25,81.01
14,280,30,67,3,32,81.15
15,320,20,48,5,10,95.78
16,0,10,35,0,0,115.04
17,0,10,27,0,0,134.6
18,990,10,26,0,0,144.96
19,10,20,39,0,0,142.63
20,10,20,39,0,0,126.3
21,10,20,40,0,0,121.63
22,90,20,32,0,0,119.52
23,20,20,38,0,0,110.45
0,360,20,38,0,0,108.98
1,330,20,32,0,0,101.36
2,360,20,35,0,0,89.0
3,110,10,30,0,0,90.59
4,290,20,23,0,0,82.62
5,110,20,17,0,0,86.41
6,130,20,14,0,0,91.9
7,180,20,8,0,2,97.86
8,210,20,20,8,35,97.71
9,190,30,30,10,70,95.58
10,170,50,21,8,73,83.64
11,160,50,22,0,42,96.16
12,160,60,31,0,42,93.48
13,170,70,37,0,24,73.21
14,170,60,39,0,24,71.52
15,140,60,38,7,13,85.03
16,140,60,38,0,0,94.96
17,140,70,38,0,0,103.45
18,140,80,39,0,0,100.45
19,150,70,43,0,0,76.78
20,160,70,57,0,0,66.87
21,160,60,65,0,0,57.58
22,160,50,71,0,0,43.16
23,150,40,72,0,0,24.08
0,150,40,80,0,0,34.08
1,140,50,77,0,0,28.12
2,170,70,84,0,0,14.93
3,190,90,89,0,0,11.69
4,210,80,100,0,0,8.94
5,230,70,94,0,0,18.86
6,220,60,96,0,0,35.01
7,210,60,88,0,2,54.94
8,200,70,94,3,25,67.0
9,210,70,105,7,66,60.43
10,200,70,103,4,60,44.09
11,220,70,109,10,114,38.69
12,220,80,113,10,115,37.0
13,220,70,108,10,85,37.84
14,200,60,105,8,59,44.52
15,200,70,96,7,24,68.45
16,190,60,84,0,1,81.85
17,180,50,76,0,0,101.74
18,190,60,88,0,0,102.41
19,190,80,83,0,0,90.24
20,180,60,80,0,0,80.87
21,200,60,73,0,0,72.9
22,190,70,69,0,0,69.41
23,180,80,72,0,0,56.26
0,170,60,66,0,0,39.27
1,180,60,61,0,0,32.86
2,170,60,59,0,0,23.75
3,170,60,64,0,0,28.79
4,170,70,67,0,0,29.7
5,180,80,70,0,0,28.78
6,180,80,73,0,0,47.24
7,180,80,75,0,1,72.06
8,180,80,80,0,13,94.31
